label_name	bbox_x	bbox_y	bbox_width	bbox_height	image_name	image_width	image_height
sp01	1316	1600	145	115	sp01_img01.jpg	3001	2960
sp01	2601	1970	150	116	sp01_img01.jpg	3001	2960
sp01	2032	908	131	145	sp01_img01.jpg	3001	2960
sp01	1133	532	150	156	sp01_img01.jpg	3001	2960
sp01	1112	501	145	120	sp01_img02.jpg	2894	2890
sp01	1285	1509	135	135	sp01_img02.jpg	2894	2890
sp01	2001	886	106	130	sp01_img02.jpg	2894	2890
sp01	2486	1840	169	170	sp01_img02.jpg	2894	2890
sp01	1495	653	159	142	sp01_img03.jpg	2867	2879
sp01	1495	869	168	161	sp01_img03.jpg	2867	2879
sp01	1512	2159	145	142	sp01_img03.jpg	2867	2879
sp01	192	1791	152	123	sp01_img03.jpg	2867	2879
sp01	131	1540	116	116	sp01_img03.jpg	2867	2879
sp01	1461	630	205	150	sp01_img04.jpg	2813	2804
sp01	1451	848	190	150	sp01_img04.jpg	2813	2804
sp01	1451	2098	136	160	sp01_img04.jpg	2813	2804
sp01	191	1648	121	170	sp01_img04.jpg	2813	2804
sp01	132	1441	125	110	sp01_img04.jpg	2813	2804
sp01	1269	2150	153	167	sp01_img05.jpg	2859	2836
sp01	1493	1755	134	146	sp01_img05.jpg	2859	2836
sp01	1684	1702	167	127	sp01_img05.jpg	2859	2836
sp01	821	1293	213	200	sp01_img05.jpg	2859	2836
sp01	986	1023	153	200	sp01_img05.jpg	2859	2836
sp01	676	990	153	147	sp01_img05.jpg	2859	2836
sp01	1137	714	167	153	sp01_img05.jpg	2859	2836
sp01	794	595	134	121	sp01_img05.jpg	2859	2836
sp01	411	1765	107	101	sp01_img05.jpg	2859	2836
sp01	491	1839	114	101	sp01_img05.jpg	2859	2836
sp01	881	538	147	167	sp01_img06.jpg	2905	2886
sp01	1230	730	140	133	sp01_img06.jpg	2905	2886
sp01	729	947	147	140	sp01_img06.jpg	2905	2886
sp01	1052	1039	121	127	sp01_img06.jpg	2905	2886
sp01	888	1309	113	108	sp01_img06.jpg	2905	2886
sp01	395	1720	69	68	sp01_img06.jpg	2905	2886
sp01	431	1765	69	76	sp01_img06.jpg	2905	2886
sp01	1184	2192	121	154	sp01_img06.jpg	2905	2886
sp01	1487	1823	114	127	sp01_img06.jpg	2905	2886
sp01	1685	1777	114	127	sp01_img06.jpg	2905	2886
sp01	551	384	105	111	sp01_img07.jpg	2851	2841
sp01	887	216	105	116	sp01_img07.jpg	2851	2841
sp01	1060	157	120	135	sp01_img07.jpg	2851	2841
sp01	1549	157	115	125	sp01_img07.jpg	2851	2841
sp01	1559	256	105	91	sp01_img07.jpg	2851	2841
sp01	1386	434	100	110	sp01_img07.jpg	2851	2841
sp01	1297	528	110	100	sp01_img07.jpg	2851	2841
sp01	1257	651	121	111	sp01_img07.jpg	2851	2841
sp01	1183	661	101	130	sp01_img07.jpg	2851	2841
sp01	1060	681	135	145	sp01_img07.jpg	2851	2841
sp01	1420	567	86	106	sp01_img07.jpg	2851	2841
sp01	1366	602	86	115	sp01_img07.jpg	2851	2841
sp01	1386	725	115	126	sp01_img07.jpg	2851	2841
sp01	1504	478	96	101	sp01_img07.jpg	2851	2841
sp01	1608	429	101	135	sp01_img07.jpg	2851	2841
sp01	1667	350	81	125	sp01_img07.jpg	2851	2841
sp01	1741	261	111	100	sp01_img07.jpg	2851	2841
sp01	1741	345	106	105	sp01_img07.jpg	2851	2841
sp01	1573	912	69	70	sp01_img07.jpg	2851	2841
sp01	1104	908	135	101	sp01_img07.jpg	2851	2841
sp01	1535	968	90	72	sp01_img07.jpg	2851	2841
sp01	1514	886	87	79	sp01_img07.jpg	2851	2841
sp01	1213	1101	110	115	sp01_img07.jpg	2851	2841
sp01	1094	1086	116	120	sp01_img07.jpg	2851	2841
sp01	926	1145	101	111	sp01_img07.jpg	2851	2841
sp01	867	1214	120	126	sp01_img07.jpg	2851	2841
sp01	983	1884	71	83	sp01_img07.jpg	2851	2841
sp01	803	1995	130	111	sp01_img07.jpg	2851	2841
sp01	1041	1905	70	81	sp01_img07.jpg	2851	2841
sp01	1165	1792	73	79	sp01_img07.jpg	2851	2841
sp01	1139	1901	95	86	sp01_img07.jpg	2851	2841
sp01	1336	1738	111	76	sp01_img07.jpg	2851	2841
sp01	1351	1792	130	72	sp01_img07.jpg	2851	2841
sp01	1351	1857	111	81	sp01_img07.jpg	2851	2841
sp01	1220	1827	72	85	sp01_img07.jpg	2851	2841
sp01	1539	2371	101	130	sp01_img07.jpg	2851	2841
sp01	980	1219	96	86	sp01_img07.jpg	2851	2841
sp01	1153	1279	111	90	sp01_img07.jpg	2851	2841
sp01	995	1293	126	101	sp01_img07.jpg	2851	2841
sp01	1410	1397	101	116	sp01_img07.jpg	2851	2841
sp01	1272	1456	121	146	sp01_img07.jpg	2851	2841
sp01	1208	1624	110	126	sp01_img07.jpg	2851	2841
sp01	1005	2054	131	116	sp01_img07.jpg	2851	2841
sp01	1435	1615	106	105	sp01_img07.jpg	2851	2841
sp01	1811	1605	110	140	sp01_img07.jpg	2851	2841
sp01	1623	1748	106	125	sp01_img07.jpg	2851	2841
sp01	1514	1891	131	116	sp01_img07.jpg	2851	2841
sp01	2295	2030	115	120	sp01_img07.jpg	2851	2841
sp01	2463	1921	120	106	sp01_img07.jpg	2851	2841
sp01	2611	1432	130	130	sp01_img07.jpg	2851	2841
sp01	2621	1308	125	106	sp01_img07.jpg	2851	2841
sp01	2552	1041	145	126	sp01_img07.jpg	2851	2841
sp01	2003	320	136	135	sp01_img07.jpg	2851	2841
sp01	2112	315	101	106	sp01_img07.jpg	2851	2841
sp01	1260	364	155	141	sp01_img08.jpg	2969	2965
sp01	1280	888	120	141	sp01_img08.jpg	2969	2965
sp01	2036	799	130	126	sp01_img08.jpg	2969	2965
sp01	1895	947	76	78	sp01_img08.jpg	2969	2965
sp01	1846	923	60	86	sp01_img08.jpg	2969	2965
sp01	1809	725	140	140	sp01_img08.jpg	2969	2965
sp01	1720	903	105	97	sp01_img08.jpg	2969	2965
sp01	1708	1050	101	90	sp01_img08.jpg	2969	2965
sp01	1631	982	120	96	sp01_img08.jpg	2969	2965
sp01	1463	967	110	96	sp01_img08.jpg	2969	2965
sp01	1468	1041	110	81	sp01_img08.jpg	2969	2965
sp01	1497	1091	106	71	sp01_img08.jpg	2969	2965
sp01	1616	1190	86	86	sp01_img08.jpg	2969	2965
sp01	1389	1190	90	105	sp01_img08.jpg	2969	2965
sp01	1191	1022	125	110	sp01_img08.jpg	2969	2965
sp01	974	1175	145	125	sp01_img08.jpg	2969	2965
sp01	460	705	135	126	sp01_img08.jpg	2969	2965
sp01	287	829	105	140	sp01_img08.jpg	2969	2965
sp01	1542	1348	115	120	sp01_img08.jpg	2969	2965
sp01	1384	1402	140	135	sp01_img08.jpg	2969	2965
sp01	1809	1521	120	120	sp01_img08.jpg	2969	2965
sp01	1641	1555	135	111	sp01_img08.jpg	2969	2965
sp01	1947	1610	135	86	sp01_img08.jpg	2969	2965
sp01	1858	1624	116	111	sp01_img08.jpg	2969	2965
sp01	1907	1694	121	120	sp01_img08.jpg	2969	2965
sp01	1710	1728	115	111	sp01_img08.jpg	2969	2965
sp01	1596	1694	121	135	sp01_img08.jpg	2969	2965
sp01	1675	1931	140	130	sp01_img08.jpg	2969	2965
sp01	1715	2163	115	111	sp01_img08.jpg	2969	2965
sp01	1245	1876	141	96	sp01_img08.jpg	2969	2965
sp01	1250	1931	86	96	sp01_img08.jpg	2969	2965
sp01	1280	1980	101	86	sp01_img08.jpg	2969	2965
sp01	1394	2114	150	100	sp01_img08.jpg	2969	2965
sp01	1621	2168	106	130	sp01_img08.jpg	2969	2965
sp01	1522	2203	101	86	sp01_img08.jpg	2969	2965
sp01	1438	2252	91	106	sp01_img08.jpg	2969	2965
sp01	1403	2301	91	91	sp01_img08.jpg	2969	2965
sp01	1473	2326	120	106	sp01_img08.jpg	2969	2965
sp01	1408	2415	141	106	sp01_img08.jpg	2969	2965
sp01	1290	2361	120	125	sp01_img08.jpg	2969	2965
sp01	1739	2687	116	130	sp01_img08.jpg	2969	2965
sp01	1878	2632	150	141	sp01_img08.jpg	2969	2965
sp01	1156	2405	136	101	sp01_img08.jpg	2969	2965
sp01	1211	2603	125	120	sp01_img08.jpg	2969	2965
sp01	1206	2712	130	95	sp01_img08.jpg	2969	2965
sp01	1107	2489	116	111	sp01_img08.jpg	2969	2965
sp01	1028	2484	106	136	sp01_img08.jpg	2969	2965
sp01	1003	2603	126	96	sp01_img08.jpg	2969	2965
sp01	726	2504	106	125	sp01_img08.jpg	2969	2965
sp01	628	2519	100	115	sp01_img08.jpg	2969	2965
sp01	143	1733	146	126	sp01_img08.jpg	2969	2965
sp01	94	1461	140	136	sp01_img08.jpg	2969	2965
sp01	119	1318	120	126	sp01_img08.jpg	2969	2965
sp01	2268	2469	121	126	sp01_img08.jpg	2969	2965
sp01	2141	2629	49	94	sp01_img09.jpg	2960	2972
sp01	2063	2660	79	90	sp01_img09.jpg	2960	2972
sp01	1544	545	154	166	sp01_img09.jpg	2960	2972
sp01	1907	433	114	133	sp01_img09.jpg	2960	2972
sp01	1703	564	107	128	sp01_img09.jpg	2960	2972
sp01	1788	545	88	114	sp01_img09.jpg	2960	2972
sp01	1821	657	94	107	sp01_img09.jpg	2960	2972
sp01	1933	611	88	127	sp01_img09.jpg	2960	2972
sp01	1953	775	101	108	sp01_img09.jpg	2960	2972
sp01	1880	676	101	121	sp01_img09.jpg	2960	2972
sp01	1512	821	127	108	sp01_img09.jpg	2960	2972
sp01	2137	749	121	107	sp01_img09.jpg	2960	2972
sp01	2170	815	101	101	sp01_img09.jpg	2960	2972
sp01	2243	815	87	133	sp01_img09.jpg	2960	2972
sp01	2177	867	120	101	sp01_img09.jpg	2960	2972
sp01	1709	927	88	120	sp01_img09.jpg	2960	2972
sp01	1597	960	101	114	sp01_img09.jpg	2960	2972
