epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.8564,2.50466,4.36399,1.44406,0,0,0,0,3.12494,4.46873,2.14654,7e-05,7e-05,7e-05
2,197.248,2.22288,3.9296,1.1868,0.00408,0.01471,0.00358,0.00095,2.55173,4.37223,1.78097,0.000148515,0.000148515,0.000148515
3,260.577,2.08201,3.29454,1.11577,0.01555,0.03824,0.03523,0.016,2.59944,4.30042,1.73032,0.000225446,0.000225446,0.000225446
4,369.716,2.13333,2.76804,1.08378,0.06137,0.08082,0.08634,0.04431,2.63263,4.0866,1.60275,0.000300793,0.000300793,0.000300793
5,420.151,2.02565,2.3251,1.07742,0.62502,0.07647,0.08716,0.03182,2.59845,3.93238,1.50059,0.000374556,0.000374556,0.000374556
6,504.299,2.08443,2.05051,1.05025,0.68142,0.08235,0.13074,0.05995,2.46657,3.78418,1.43187,0.000446735,0.000446735,0.000446735
7,600.396,1.97793,1.93876,1.04943,0.61223,0.09303,0.13464,0.05318,2.5256,3.72178,1.42268,0.00051733,0.00051733,0.00051733
8,663.038,1.95568,1.81757,1.03085,0.69751,0.08168,0.14937,0.06763,2.60452,3.64133,1.3898,0.000586341,0.000586341,0.000586341
9,713.963,1.97596,1.63202,1.02489,0.05363,0.23235,0.15567,0.06306,2.5518,3.67685,1.37643,0.000653768,0.000653768,0.000653768
10,769.526,1.96647,1.73175,1.02732,0.05665,0.26128,0.1517,0.06055,2.55276,3.55059,1.37271,0.000719611,0.000719611,0.000719611
11,831.621,1.96826,1.54918,1.01493,0.07367,0.28987,0.22682,0.09295,2.44812,3.33246,1.34452,0.00078387,0.00078387,0.00078387
12,891.51,1.93055,1.64125,1.01741,0.11564,0.38147,0.25765,0.09954,2.47418,3.09833,1.3278,0.000846545,0.000846545,0.000846545
13,935.395,1.84908,1.49747,1.02454,0.387,0.23805,0.28122,0.1117,2.44525,2.84146,1.3126,0.0008812,0.0008812,0.0008812
14,1014.07,1.79797,1.38986,0.99025,0.75878,0.15214,0.26068,0.09877,2.44733,2.72661,1.32993,0.0008713,0.0008713,0.0008713
15,1076.65,1.89645,1.48571,1.0235,0.47743,0.15513,0.24625,0.0971,2.40672,2.62346,1.29616,0.0008614,0.0008614,0.0008614
16,1181.15,1.84841,1.34759,0.99081,0.28005,0.19595,0.20325,0.08054,2.48109,2.58093,1.30886,0.0008515,0.0008515,0.0008515
17,1247.19,1.878,1.45387,1.01327,0.62234,0.2827,0.23535,0.09648,2.37608,2.44143,1.26016,0.0008416,0.0008416,0.0008416
