epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.242,2.14952,2.68885,1.48974,0.23106,0.24898,0.12617,0.04212,2.68357,3.81994,1.7022,0.000327044,0.000327044,0.000327044
2,258.406,1.68403,1.80596,1.2564,0.22888,0.13818,0.10457,0.03417,2.87567,3.53031,1.72245,0.000654929,0.000654929,0.000654929
3,370.044,1.65946,1.70367,1.23149,0.20649,0.21249,0.18088,0.08318,2.50124,2.61788,1.54369,0.000977314,0.000977314,0.000977314
4,489.085,1.58198,1.59259,1.22069,0.35089,0.19673,0.19056,0.06293,2.66937,2.17386,1.7121,0.00097525,0.00097525,0.00097525
5,599.312,1.49929,1.47542,1.17759,0.35393,0.20869,0.20916,0.07344,2.59702,2.16415,1.49872,0.000967,0.000967,0.000967
6,721.974,1.47456,1.45333,1.17582,0.39687,0.24676,0.24309,0.10313,2.31904,1.89624,1.46398,0.00095875,0.00095875,0.00095875
7,843.014,1.43746,1.43017,1.16364,0.25525,0.25987,0.22675,0.08618,2.3227,2.14518,1.46854,0.0009505,0.0009505,0.0009505
8,960.724,1.44767,1.37918,1.15372,0.50658,0.15221,0.18542,0.05802,2.42154,2.39483,1.46649,0.00094225,0.00094225,0.00094225
9,1086.68,1.41485,1.3261,1.14244,0.53501,0.24339,0.29729,0.10821,2.24423,1.76622,1.42587,0.000934,0.000934,0.000934
10,1194.49,1.36423,1.29826,1.14984,0.37449,0.25534,0.28451,0.10318,2.19138,1.93709,1.38409,0.00092575,0.00092575,0.00092575
11,1311.56,1.36787,1.24095,1.12737,0.55258,0.34425,0.32552,0.11405,2.33121,1.75725,1.41272,0.0009175,0.0009175,0.0009175
12,1424.15,1.36854,1.25781,1.12863,0.41363,0.30473,0.34852,0.13168,2.15767,1.68722,1.33632,0.00090925,0.00090925,0.00090925
13,1544.07,1.3427,1.22027,1.12298,0.32482,0.29216,0.30682,0.11923,2.04825,1.67713,1.28927,0.000901,0.000901,0.000901
14,1660.15,1.34316,1.22331,1.11324,0.3628,0.21673,0.2693,0.09773,2.17149,1.82687,1.34317,0.00089275,0.00089275,0.00089275
15,1770.43,1.32066,1.19071,1.11503,0.25842,0.42338,0.3376,0.12872,2.0668,1.67737,1.36017,0.0008845,0.0008845,0.0008845
16,1886.03,1.3174,1.16581,1.11472,0.49553,0.24647,0.34671,0.11865,2.18909,1.67361,1.36094,0.00087625,0.00087625,0.00087625
17,1997.06,1.30989,1.1566,1.11215,0.46319,0.2332,0.33323,0.12143,2.0502,1.70858,1.31966,0.000868,0.000868,0.000868
18,2111.3,1.32079,1.14125,1.09735,0.48711,0.2403,0.33851,0.1261,2.18866,1.69539,1.37966,0.00085975,0.00085975,0.00085975
19,2217.89,1.32561,1.15577,1.12382,0.7676,0.24859,0.37991,0.15186,1.99503,1.52355,1.30788,0.0008515,0.0008515,0.0008515
20,2325.05,1.27696,1.1142,1.09938,0.46234,0.26547,0.35073,0.13345,2.00671,1.55587,1.32057,0.00084325,0.00084325,0.00084325
21,2445.04,1.29859,1.0767,1.08863,0.46843,0.26472,0.35841,0.14165,1.99764,1.68158,1.28132,0.000835,0.000835,0.000835
22,2556.23,1.25885,1.09436,1.09812,0.49816,0.25375,0.37053,0.13759,2.11905,1.54879,1.33644,0.00082675,0.00082675,0.00082675
23,2662.45,1.26692,1.10082,1.09836,0.76214,0.26602,0.37064,0.14838,1.97605,1.67769,1.25603,0.0008185,0.0008185,0.0008185
24,2772.89,1.25562,1.06205,1.08075,0.74156,0.29448,0.43672,0.17934,1.96096,1.4292,1.27947,0.00081025,0.00081025,0.00081025
25,2889.55,1.24182,1.0502,1.07769,0.53455,0.30769,0.44228,0.17142,1.95232,1.3785,1.2786,0.000802,0.000802,0.000802
26,3001.48,1.23582,1.0493,1.07956,0.55569,0.27745,0.41076,0.17621,1.88754,1.47507,1.27088,0.00079375,0.00079375,0.00079375
27,3110.91,1.2437,1.04205,1.07858,0.37573,0.39102,0.36316,0.13074,2.09834,1.62664,1.38646,0.0007855,0.0007855,0.0007855
28,3218.08,1.2241,1.03531,1.08072,0.29496,0.4383,0.36361,0.1492,1.97389,1.8172,1.26931,0.00077725,0.00077725,0.00077725
29,3336.11,1.22605,1.0214,1.07463,0.54104,0.28043,0.42474,0.18061,1.8634,1.43577,1.26729,0.000769,0.000769,0.000769
